wavelength (nm);Human Eye Sensitivity
425;0
426;0,137135999999996
427;0,276471999999996
428;0,415807999999996
429;0,555143999999996
430;0,694479999999996
431;0,831815267092039
432;0,93829253140916
433;1,11404415817671
434;1,23556434327886
435;1,37985938671604
436;1,54344441939196
437;1,72283457221038
438;1,91454497607502
439;2,12770727617279
440;2,35676404453224
441;2,59273749097441
442;2,8343006422109
443;3,08012652495318
444;3,32905364240065
445;3,58215037618964
446;3,84208389806713
447;4,11155624269002
448;4,39326944471517
449;4,68964756418603
450;4,99956971141659
451;5,31946969772761
452;5,64573284209203
453;5,97474446348283
454;6,30290581688397
455;6,62681068167361
456;6,94318058720804
457;7,248739356889
458;7,54021081411822
459;7,81479084453559
460;8,07508311610095
461;8,32714260076434
462;8,57708012681494
463;8,83100652254198
464;9,09511397621577
465;9,37647924232969
466;9,682721967282
467;10,0214696750125
468;10,4003498894609
469;10,8262541889536
470;11,2984739468414
471;11,8118156464884
472;12,361027759126
473;12,9408587559855
474;13,5459573428089
475;14,1699928331822
476;14,8060789619538
477;15,44732309852
478;16,0868326122769
479;16,7195559303548
480;17,3576345890205
481;18,0225840109274
482;18,7360140744121
483;19,5195346578113
484;20,3932118402465
485;21,3633876875022
486;22,4292142241396
487;23,5897802626221
488;24,8441746154131
489;26,1909505741886
490;27,624126797939
491;29,1354396007821
492;30,7166079465289
493;32,3593507989908
494;34,0565807840638
495;35,8108438330527
496;37,6293428407988
497;39,5193110033797
498;41,4879815168731
499;43,5388947473477
500;45,6471716254594
501;47,7747405952754
502;49,8834574797198
503;51,9351781017169
504;53,8953623731537
505;55,7559326532614
506;57,5206040934717
507;59,1931460349183
508;60,7773278187348
509;62,2795172664002
510;63,7242930945199
511;65,1440230247105
512;66,5711041951158
513;68,0379337438796
514;69,5714423823108
515;71,1619781739964
516;72,7848758858159
517;74,4154245267816
518;76,0289131059058
519;77,601463527211
520;79,1145223061632
521;80,5516321143834
522;81,8963406685873
523;83,1321956854902
524;84,2468074805582
525;85,2526050330861
526;86,1713871735491
527;87,02497008109
528;87,8351699348515
529;88,6221077855249
530;89,3960057266933
531;90,1635028544842
532;90,9312333229596
533;91,7058312861817
534;92,490742121358
535;93,2716061208608
536;94,0278864048348
537;94,7390399972055
538;95,3845239218982
539;95,9477579207122
540;96,4333235227467
541;96,8528374443971
542;97,2179211178403
543;97,5401959752532
544;97,8301651427677
545;98,0926189202822
546;98,330528132844
547;98,546862832794
548;98,7445930724738
549;98,9260364296558
550;99,0903214210462
551;99,2356037470991
552;99,360038870858
553;99,4617822553662
554;99,5394606374222
555;99,5939049242111
556;99,6265898910809
557;99,6389903913607
558;99,6325812783793
559;99,6076812522943
560;99,5594340200721
561;99,4815359544677
562;99,3676833601351
563;99,2115725417287
564;99,0076755496143
565;98,7537877546717
566;98,4485942982726
567;98,0907803317216
568;97,6790310063234
569;97,2126601356222
570;96,6935593417396
571;96,1242808834211
572;95,5073770197769
573;94,8454000097758
574;94,1403334873533
575;93,3919293223121
576;92,5993919274287
577;91,7619257154792
578;90,8787350951021
579;89,9485431929163
580;88,9682650269123
581;87,9343910848893
582;86,8434118546464
583;85,6918178887731
584;84,4777066708947
585;83,2049548110265
586;81,8787376179652
587;80,5042304005075
588;79,0866086199502
589;77,6324516127859
590;76,1531725484248
591;74,661224195555
592;73,1690593228641
593;71,6891295881302
594;70,228938174117
595;68,7796725031999
596;67,3291621441081
597;65,8652366655709
598;64,375727201496
599;62,8524074960202
600;61,2995016048246
601;59,7236852020093
602;58,1316339616743
603;56,5300230029443
604;54,9246515118287
605;53,3186687992099
606;51,7147250152577
607;50,1154703101419
608;48,5235529693573
609;46,9396384235492
610;45,3586442115387
611;43,7744523105921
612;42,1809446979757
613;40,5720110208597
614;38,9473406709331
615;37,3227369195474
616;35,7167790129229
617;34,1480461972795
618;32,6351092184484
619;31,1917736093091
620;29,8191519992203
621;28,5162667315824
622;27,2821401497959
623;26,115794257162
624;25,0161049596245
625;23,9815749781767
626;23,010648303191
627;22,1017689250397
628;21,2533670429095
629;20,4592094552366
630;19,7016367082862
631;18,9612714742221
632;18,2187364252081
633;17,4546915203806
634;16,6599446293599
635;15,8491604453137
636;15,0404288380884
637;14,25183967753
638;13,5014591634454
639;12,8020709356688
640;12,1545399192138
641;11,5580976020309
642;11,0119754720706
643;10,5153909422251
644;10,0649443425114
645;9,65156756747259
646;9,26545130028749
647;8,89678622413504
648;8,53578767843961
649;8,17654309043796
650;7,82119293740943
651;7,47288192226059
652;7,1347547478981
653;6,80994511105168
654;6,50010946688705
655;6,2039534598892
656;5,91983200474588
657;5,64610001614488
658;5,38112151889976
659;5,12431647630279
660;4,87713115374376
661;4,64124124427134
662;4,4183224409342
663;4,21002376442396
664;4,01529995625929
665;3,82813776907329
666;3,64198845122084
667;3,4503032510567
668;3,24656639211883
669;3,02718863549796
670;2,79376702883298
671;2,54843047053162
672;2,2933078590015
673;2,02185676689879
674;1,7347758931499
675;1,48513174524946
676;1,30762393125739
677;0,989199999999983
678;0,738799999999983
679;0,488399999999983
680;0,237999999999983